TF	pka_observation_rate	PLUS_observation_rate	PLUS_p_val
Mga2p	0.307857911733	0.569892473118	2.05907878798e-07
Cst6p	0.476856835307	0.677419354839	0.000107095335057
Sfp1p	0.803013993541	0.94623655914	0.000127794300242
Rlm1p	0.249730893434	0.430107526882	0.00016194324992
Spt10p	0.307857911733	0.494623655914	0.000178615221507
Swi5p	0.465016146394	0.655913978495	0.00024345245823
Rpn4p	0.411194833154	0.602150537634	0.000290124155178
Fkh1p	0.212055974166	0.376344086022	0.000307737936808
Spt23p	0.413347685684	0.58064516129	0.00145023443815
Sin3p	0.336921420883	0.47311827957	0.00806245557539
